Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2023,Middlesex,NJ,Passenger,1,0,1,17,18,5.56
February 28 2022,Shelby,OH,Passenger,0,1,1,3,4,25.00
March 31 2021,Randolph,NC,Passenger,1,0,1,8,9,11.11
March 31 2023,Orange,NC,Passenger,0,1,1,6,7,14.29
October 31 2023,Okanogan,WA,Passenger,146,74,220,26039,26259,0.84
December 31 2018,Pierce,WA,Passenger,1509,1373,2882,538740,541622,0.53
December 31 2018,Walla Walla,WA,Truck,0,0,0,13524,13524,0.00
March 31 2019,Broward,FL,Passenger,2,1,3,128,131,2.29
June 30 2023,Pulaski,AR,Passenger,3,0,3,19,22,13.64
March 31 2022,Moore,NC,Passenger,0,1,1,127,128,0.78
December 31 2023,Salt Lake,UT,Passenger,1,1,2,90,92,2.17
January 31 2023,Loudoun,VA,Passenger,3,2,5,61,66,7.58
June 30 2018,Spokane,WA,Truck,1,0,1,92619,92620,0.00
December 31 2022,Pierce,WA,Passenger,6155,2508,8663,538052,546715,1.58
December 31 2018,Mecklenburg,NC,Passenger,1,0,1,80,81,1.23
January 31 2021,Eagle,CO,Passenger,1,0,1,7,8,12.50
February 28 2018,Kittitas,WA,Truck,0,0,0,13947,13947,0.00
November 30 2021,Grant,WA,Truck,0,0,0,28032,28032,0.00
April 30 2020,Oklahoma,OK,Passenger,0,1,1,132,133,0.75
October 31 2023,St. Mary's,MD,Passenger,1,0,1,169,170,0.59
April 30 2018,Hardin,KY,Passenger,0,1,1,112,113,0.88
June 30 2018,Clallam,WA,Passenger,124,112,236,49916,50152,0.47
December 31 2020,Pima,AZ,Passenger,2,1,3,352,355,0.85
November 30 2021,Chesapeake,VA,Passenger,2,2,4,401,405,0.99
July 31 2020,Hennepin,MN,Passenger,3,0,3,93,96,3.12
December 31 2023,Coryell,TX,Passenger,1,0,1,62,63,1.59
September 30 2017,Lumpkin,GA,Passenger,1,0,1,9,10,10.00
July 31 2022,Asotin,WA,Passenger,24,19,43,12619,12662,0.34
August 31 2019,Solano,CA,Passenger,1,0,1,211,212,0.47
February 28 2022,Boulder,CO,Passenger,2,0,2,44,46,4.35
March 31 2020,Spokane,WA,Truck,1,0,1,97436,97437,0.00
July 31 2019,Howard,MD,Passenger,0,1,1,81,82,1.22
March 31 2022,Cook,IL,Passenger,3,0,3,215,218,1.38
September 30 2022,Douglas,NE,Passenger,2,2,4,39,43,9.30
January 31 2019,Spartanburg,SC,Passenger,0,1,1,37,38,2.63
October 31 2020,Whatcom,WA,Passenger,1170,531,1701,149609,151310,1.12
November 30 2023,Maricopa,AZ,Passenger,7,3,10,595,605,1.65
May 31 2017,Garfield,WA,Passenger,0,0,0,1287,1287,0.00
December 31 2021,Carroll,MD,Passenger,0,1,1,16,17,5.88
December 31 2020,Pierce,WA,Truck,0,0,0,144720,144720,0.00
May 31 2019,Carson City,NV,Passenger,1,0,1,13,14,7.14
July 31 2023,Adams,CO,Passenger,1,0,1,18,19,5.26
March 31 2023,Escambia,FL,Passenger,0,1,1,136,137,0.73
June 30 2022,Lee,FL,Passenger,1,0,1,36,37,2.70
January 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
April 30 2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
December 31 2021,Santa Cruz,CA,Passenger,1,0,1,29,30,3.33
October 31 2020,San Juan,WA,Truck,0,0,0,5860,5860,0.00
June 30 2023,Garfield,WA,Truck,0,0,0,974,974,0.00
November 30 2023,Pierce,WA,Truck,223,0,223,134367,134590,0.17
March 31 2024,Santa Barbara,CA,Passenger,1,0,1,57,58,1.72
April 30 2023,Cook,IL,Passenger,3,0,3,170,173,1.73
March 31 2024,DuPage,IL,Passenger,2,1,3,26,29,10.34
December 31 2018,Juneau,AK,Passenger,0,1,1,44,45,2.22
May 31 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
October 31 2017,Montgomery,PA,Passenger,1,0,1,38,39,2.56
November 30 2021,Wood,OH,Passenger,0,1,1,7,8,12.50
December 31 2020,Franklin,WA,Passenger,85,82,167,61350,61517,0.27
